stop_id,stop_name,stop_lat,stop_lon,mode,nearest_metro_id,nearest_metro_name,dist_to_metro_m,in_walk_zone,in_feeder_zone,route_diversity,Morning_freq,Midday_freq,Evening_freq
rmWjfncX,Secratariate Colony,17.39404591705,78.3860456943511,bus,PED,Peddamma Gudi,6341.250829568498,False,False,1.0,0.3333333333333333,0.0,0.0
KD05ast3,Ysr Enclave,17.390101584832,78.3825239539146,bus,PED,Peddamma Gudi,7106.843280733527,False,False,1.0,0.3333333333333333,0.0,0.0
JS7p4SaA,Ysr Enclave,17.3902168475488,78.3826419711112,bus,PED,Peddamma Gudi,7083.306274557042,False,False,2.0,0.3333333333333333,0.0,0.5
WsADLBt1,Secratariate Colony,17.394047171586,78.3861073851585,bus,PED,Peddamma Gudi,6336.619652451871,False,False,2.0,0.3333333333333333,0.0,0.5
eFKgM73O,Alijapur,17.3923738617676,78.3920042212888,bus,PED,Peddamma Gudi,6185.515833645377,False,False,2.0,0.3333333333333333,0.0,0.5
eBBWRATW,Banjara Darwaza,17.3923937014376,78.3998416398421,bus,JCP,Jubilee Hills Checkpost,5710.543132442832,False,False,2.0,0.3333333333333333,0.0,0.5
jrPDtDSC,Toli Chowki,17.3994158589884,78.4159469604492,bus,JCP,Jubilee Hills Checkpost,4314.367778812263,False,False,3.0,0.3333333333333333,0.0,0.5
SJmk04rd,Ahmed Nagar Bus Station-Mh,17.4037019598941,78.4410128550444,bus,KHA,Khairatabad,3086.2261546691702,False,False,1.0,0.6666666666666666,0.0,0.0
Y1vRqo4H,Thommidi Rekula ( 9 Rekula ),16.8771312078602,78.3248377705131,bus,LBN,L. B. Nagar,77599.59325435838,False,False,1.0,0.0,0.0,0.0
GHHcC4xa,Rampur,16.8476012447631,78.4052502506037,bus,LBN,L. B. Nagar,77826.47215642015,False,False,1.0,0.0,0.0,0.0
ASF90G6U,Medakpally,16.8377738733677,78.4185432885306,bus,LBN,L. B. Nagar,78771.17769108736,False,False,1.0,0.0,0.0,0.0
hn2JXkYD,Medakpally-Talakondapalle,16.8343438872682,78.4190368929453,bus,LBN,L. B. Nagar,79252.86942915908,False,False,1.0,0.0,0.0,0.0
FtBzNtYc,Rampur-Thalakondapally,16.8476720404143,78.4057116834315,bus,LBN,L. B. Nagar,77798.79213862852,False,False,1.0,0.0,0.0,0.0
GxV2Ofap,Lingamdana,16.8696794037751,78.3274984496654,bus,LBN,L. B. Nagar,78460.20169753133,False,False,1.0,0.0,0.0,0.25
uYTtYCtl,Antareddyguda Twd Chegur,17.1360947075272,78.2570099743501,bus,GAB,Gandhi Bhavan,48571.93239481667,False,False,1.0,0.0,0.0,0.0
sosTHIbx,Narsappaguda Twd Chegur,17.1543843064817,78.251838684082,bus,RDG,Raidurg,46615.37647451903,False,False,1.0,0.0,0.0,0.0
BEtknvd9,Narsappaguda Twd Kothur,17.1544869299973,78.2520103355016,bus,RDG,Raidurg,46591.70205685687,False,False,2.0,0.0,0.0,0.0
5hA48Zgl,Antareddyguda Twd Kothur,17.1360742763608,78.2573318282299,bus,GAB,Gandhi Bhavan,48544.71541378733,False,False,2.0,0.0,0.0,0.0
U0CxrAr7,Kondareddipally-Keshampeta,16.9311772340395,78.2900655269623,bus,LBN,L. B. Nagar,72736.01985582021,False,False,1.0,0.0,0.0,0.0
AWcubAJH,Turkapally X Road,16.9102276581202,78.370655179646,bus,LBN,L. B. Nagar,70481.73191871129,False,False,3.0,0.3333333333333333,0.0,0.0
K3iDwm0S,Gandhi Shankarpally,16.901613,78.3876591,bus,LBN,L. B. Nagar,70851.68404286915,False,False,1.0,0.0,0.0,0.0
