stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,lmci_for_mclp,lmci_deficit,lmci_deficit_norm,candidate_equity_weight,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,candidate_rank
JNT,JNTU College,17.4987037,78.3888668,3.1358690316111897,2.65817072666844,2.65817072666844,3.1358690316111897,2.6376922937869454,3.256142832481101,3.513771968565523,0.2778115501519757,0.6428571428571429,0.1514443500424809,503.0,11,6,Persistent,True,5.567964191159723,Transit Desert,2.65817072666844,3.8052031335139307,0.6226248723957245,1.4618824668228882,4,4.5,6.5784711007029975,39
BEG,Begumpet,17.4375661,78.4569341,2.6119332477342665,2.8276011154195864,2.8276011154195864,2.6119332477342665,2.6789779139315466,2.387805791706211,2.7690160375650423,0.1182978723404255,0.4285714285714285,0.4147292809144975,240.6,8,10,Persistent,True,6.308461365074617,Transit Desert,2.8276011154195864,3.635772744762784,0.5949018913945173,1.4546744917625745,4,4.25,6.1823665899909415,40
HSG,Habsiguda,17.42018,78.540548,3.054806398856535,2.186821281720864,2.186821281720864,3.054806398856535,2.524191755748725,3.6063044199264462,3.0339230208944343,0.2583586626139817,0.0714285714285714,0.2902424678125613,471.0,3,5,Persistent,True,5.682532907998928,Transit Desert,2.186821281720864,4.276552578461507,0.6997492407190709,1.4819348025869585,3,3.25,4.8162881084076155,41
ESI,ESI Hospital,17.4486969,78.4376283,2.2706988161325303,1.614976284734686,1.614976284734686,2.2706988161325303,1.7261995577167584,2.545731439760772,2.5401654509200604,0.1284498480243161,0.1428571428571428,0.2352732936845086,257.3,4,4,Persistent,True,6.790740186295383,Transit Desert,1.614976284734686,4.8483975754476845,0.7933171543851834,1.5062624601401478,2,2.5,3.7656561503503694,42
JCP,Jubilee Hills Checkpost,17.4281969,78.4137145,0.4297907103778593,0.5291838182696206,0.5291838182696206,0.4297907103778593,0.4091670906146946,0.5139436423425916,0.3662613981762918,0.0303951367781155,0.2142857142857142,0.0107264231096006,96.0,5,2,Persistent,True,9.39256142412208,Transit Desert,0.5291838182696206,5.93419004191275,0.9709795214548638,1.5524546755782644,2,2.0,3.104909351156529,43
ERA,Erragadda,17.4570487,78.4335811,1.7231963006795048,1.840326431373359,1.840326431373359,1.7231963006795048,1.8413978147523584,1.6921791835276292,1.6360119037585266,0.1610942249240121,0.2857142857142857,0.1875531011045029,311.0,6,6,Persistent,True,7.564545064451023,Transit Desert,1.840326431373359,4.623047428809011,0.7564443249008627,1.4966755244742243,2,2.0,2.9933510489484485,44
MSP,Moosapet,17.4718855,78.4261182,3.632850184247545,2.5787205635883304,2.5787205635883304,3.632850184247545,2.735732750049712,3.905867669093779,4.256950133599146,0.1386018237082067,0.2857142857142857,0.4392523364485981,274.0,6,4,Partial,False,4.86556296119785,Transit Desert,2.5787205635883304,3.88465329659404,0.6356248742126818,1.1271249748425363,2,2.5,2.8178124371063404,45
VOM,Victoria Memorial,17.3618565,78.5439622,4.714851067225545,4.44811421676355,4.44811421676355,4.714851067225545,5.178565618116224,4.614639409754318,4.351348173806091,0.4814589665653495,0.2857142857142857,0.6213891248937977,838.0,6,5,,False,3.336332432048036,Moderate,4.44811421676355,2.015259643418821,0.329746069868599,1.06594921397372,2,2.5,2.6648730349343,46
PUN,Panjagutta,17.4289362,78.450955,4.427957113460942,3.92325813566266,3.92325813566266,4.427957113460942,3.869047074713036,4.918100241369209,4.496724024300583,0.2893617021276595,0.8571428571428571,0.3912739267329702,522.0,14,8,Partial,False,3.741809913284293,Moderate,3.92325813566266,2.5401157245197106,0.4156254405764086,1.0831250881152816,2,2.0,2.1662501762305633,47
JR5,Road No 5 Jubilee Hills,17.4300489,78.4232069,0.3601429769404766,0.3518237082066869,0.3518237082066869,0.3601429769404766,0.1930091185410334,0.650832461728236,0.2365873505521604,0.0243161094224924,0.0714285714285714,0.0,86.0,3,5,Persistent,True,9.490997055676642,Transit Desert,0.3518237082066869,6.111550151975684,1.0,1.56,1,1.25,1.9500000000000002,48
BLR,Balanagar,17.4767464,78.4221082,0.8722550122764471,0.7526046333861008,0.7526046333861008,0.8722550122764471,0.7477009965576282,0.4216924872706785,1.4473715530010347,0.0115501519756838,0.0714285714285714,0.1546304163126593,65.0,3,2,Persistent,True,8.767210808270468,Transit Desert,0.7526046333861008,5.71076922679627,0.9344223780852304,1.54294981830216,1,1.25,1.9286872728777,49
STD,Stadium,17.4074002,78.5542531,2.192233796795697,2.0046421663442944,2.0046421663442944,2.192233796795697,2.180989223542415,2.4536131926504403,1.9420989741942352,0.1452887537993921,0.0,0.3636363636363637,285.0,2,7,Persistent,True,6.901637603227211,Transit Desert,2.0046421663442944,4.458731693838076,0.7295582271212647,1.4896851390515287,1,1.25,1.862106423814411,50
NAG,Nagole,17.3907683,78.5588222,2.402350174886704,2.373761391274985,2.373761391274985,2.402350174886704,2.834190178825775,2.4161116210210696,1.9567487248132664,0.2088145896656535,0.0714285714285714,0.4296721647672341,389.5,3,1,Persistent,True,6.604672614467875,Transit Desert,2.373761391274985,4.089612468907386,0.6691612385092405,1.4739819220124026,1,1.25,1.8424774025155033,51
MET,Mettuguda,17.4355207,78.5195754,4.102388167343232,3.655832383268632,3.655832383268632,4.102388167343232,4.304390287782475,3.955575656692548,4.047198557554673,0.5637689969604863,0.3571428571428571,0.2821006114592966,973.4,7,5,Partial,False,4.201948143833645,Moderate,3.655832383268632,2.8075414769137383,0.4593828745733426,1.0918765749146684,1,1.25,1.3648457186433354,52
CHP,Chaitanyapuri,17.3681501,78.5381335,4.092094327486686,4.089726340472016,4.089726340472016,4.092094327486686,4.536977736918083,4.040181807487525,3.69912343805445,0.3951367781155015,0.6428571428571429,0.4796091758708581,696.0,11,2,Partial,False,4.216496795704874,Moderate,4.089726340472016,2.373647519710355,0.38838714576252387,1.0776774291525046,1,1.25,1.347096786440631,53
LBN,L. B. Nagar,17.349846,78.5479412,7.075459601107659,6.0375038391302684,6.0375038391302684,7.075459601107659,7.345944465736372,6.89743161872586,6.983002718860744,1.0,0.5714285714285714,0.4436289735769501,1691.0,10,4,,False,0.0,Well-Connected,6.0375038391302684,0.42587002105210203,0.06968281540067717,1.0139365630801354,1,1.25,1.2674207038501693,54
PED,Peddamma Gudi,17.4306512,78.4083721,0.8109210055467453,0.7380747185802862,0.7380747185802862,0.8109210055467453,0.6534140943566278,0.8824486868188266,0.8969002354647816,0.0139817629179331,0.2857142857142857,0.074447748513169,69.0,6,0,Persistent,True,8.853896352655598,Transit Desert,0.7380747185802862,5.725299141602084,0.9367998297046232,1.543567955723202,0,0.0,0.0,55
MYP,Miyapur,17.4965452,78.3730262,2.212781696359273,1.6708528571801589,1.6708528571801589,2.212781696359273,1.9748609292653836,2.192394000666299,2.471090159146137,0.2038297872340425,0.1428571428571428,0.203213712559507,381.3,4,1,Persistent,True,6.872596522192192,Transit Desert,1.6708528571801589,4.792521003002212,0.7841743721031121,1.5038853367468092,0,0.0,0.0,56
TAR,Tarnaka,17.4274418,78.5300079,3.2734144495253985,2.830395520134585,2.830395520134585,3.2734144495253985,3.293495878851163,3.3700806205773066,3.156666849147725,0.4232826747720364,0.3571428571428571,0.2049849119620309,742.3,7,3,Persistent,True,5.373566334810325,Transit Desert,2.830395520134585,3.6329783400477855,0.5944446580174673,1.4545556110845415,0,0.0,0.0,57
