stop_id,stop_name,stop_lat,stop_lon,stop_count_3km,stop_count_800m,density_norm,walkzone_norm,avg_Morning_freq,Morning_freq_norm,Morning_LMCI,avg_Midday_freq,Midday_freq_norm,Midday_LMCI,avg_Evening_freq,Evening_freq_norm,Evening_LMCI,LMCI_mean,LMCI,LMCI_old,temporal_gap,Morning_category,Midday_category,Evening_category,category,service_class,stop_count,demand_count,demand_norm,LMCI_new,LMCI_new2,desert_windows,n_desert_windows,desert_severity,is_persistent_desert,temporal_gap_flag,priority_score
MKL,Malakpet,17.3771888,78.4939356,576.6,13,0.32255319148936173,0.7857142857142857,10.710758377425044,0.2880069048293348,3.5505078624784336,16.322751322751323,0.29048447691129625,3.5604181508062793,17.637400793650794,0.15335950750306637,3.0119182731733596,3.374281428819357,3.5505078624784336,3.374281428819357,-0.009910288327845684,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,576.6,17,0.3617021276595745,3.8580849571762283,3.8580849571762283,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.231007427007123
NEM,New Market,17.3734454,78.5031791,606.3,7,0.3406079027355623,0.35714285714285715,11.475308641975309,0.3172377985462098,3.329133565005508,23.048148148148147,0.5138324562690875,4.115512195897018,23.770138888888887,0.2984747384050188,3.254081324440744,3.56624236178109,3.329133565005508,3.56624236178109,-0.7863786308915106,Transit Desert,Moderate,Transit Desert,Transit Desert,Transit Desert,606.3,8,0.1702127659574468,3.0934933891366576,3.0934933891366576,"['Morning', 'Evening']",2,Partial,False,False,4.959702177901212
MSB,Musarambagh,17.3710873,78.5119545,841.0,6,0.48328267477203646,0.2857142857142857,10.32,0.2730671197960918,3.7943961387588354,18.226666666666667,0.35371281212654887,4.1169789080806645,20.35,0.21754608355780913,3.5723119938057044,3.827895680215068,3.7943961387588354,3.827895680215068,-0.32258276932182905,Transit Desert,Moderate,Transit Desert,Transit Desert,Transit Desert,841.0,11,0.23404255319148937,3.4268595393471117,3.4268595393471117,"['Morning', 'Evening']",2,Partial,False,False,4.589898188923566
DSN,Dilsukh Nagar,17.3685493,78.5253873,416.0,5,0.22492401215805471,0.21428571428571427,17.666666666666664,0.5539507221750212,3.554708663776072,25.151515151515152,0.5836845084596516,3.673643808914594,29.068181818181817,0.42383908807613446,3.0342621273805253,3.420871533357064,3.554708663776072,3.420871533357064,-0.1189351451385221,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,416.0,6,0.1276595744680851,3.238979503296464,3.238979503296464,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.165159966680428
CHP,Chaitanyapuri,17.3681501,78.5381335,696.0,11,0.3951367781155015,0.6428571428571429,15.722222222222221,0.4796091758708581,4.536977736918083,18.277777777777775,0.3554101935132188,4.040181807487525,22.572916666666668,0.27014560115494995,3.69912343805445,4.092094327486686,4.536977736918083,4.092094327486686,0.49679592943055795,Moderate,Moderate,Transit Desert,Moderate,Moderate,696.0,2,0.0425531914893617,4.089726340472016,4.089726340472016,['Evening'],1,Partial,False,False,4.216496795704874
VOM,Victoria Memorial,17.3618565,78.5439622,838.0,6,0.48145896656534953,0.2857142857142857,19.430555555555554,0.6213891248937977,5.178565618116224,22.041666666666668,0.480407572803321,4.614639409754318,28.677083333333332,0.41458476381626436,4.351348173806091,4.714851067225545,5.178565618116224,4.714851067225545,0.5639262083619059,Moderate,Moderate,Moderate,Moderate,Moderate,838.0,5,0.10638297872340426,4.44811421676355,4.44811421676355,[],0,None,False,False,3.336332432048036
LBN,L. B. Nagar,17.349846,78.5479412,1691.0,10,1.0,0.5714285714285714,14.781140042223784,0.44362897357695014,7.345944465736372,17.557823129251698,0.3315007618243221,6.89743161872586,26.069940476190474,0.3528935368580432,6.983002718860744,7.075459601107659,7.345944465736372,7.075459601107659,0.4485128470105124,Well-Connected,Moderate,Moderate,Well-Connected,Well-Connected,1691.0,4,0.0851063829787234,6.0375038391302684,6.0375038391302684,[],0,None,False,False,0.0
SUB,Sultan Bazar,17.3844473,78.4840241,408.0,7,0.22006079027355624,0.35714285714285715,28.666666666666668,0.9745114698385727,5.355492687864929,34.047619047619044,0.879120879120879,4.973930324994154,42.035714285714285,0.730681878202081,4.380174321318963,4.9031991113926825,5.355492687864929,4.9031991113926825,0.38156236287077494,Moderate,Moderate,Moderate,Moderate,Moderate,408.0,27,0.574468085106383,5.57841932376631,5.57841932376631,[],0,None,False,False,3.070133407835316
NAR,Narayanaguda,17.3943658,78.4899578,426.3,15,0.2311854103343465,0.9285714285714286,9.79757343550447,0.253093291926679,3.096871647949877,12.50830140485313,0.1638079842607996,2.7397304172863595,15.123204022988507,0.09386760694548413,2.4599689080250977,2.7655236577537785,3.096871647949877,2.7655236577537785,0.35714123066351755,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,426.3,17,0.3617021276595745,3.630385792260094,3.630385792260094,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,6.091386547778694
CDP,Chikkadpally,17.4003634,78.4948964,525.0,11,0.29118541033434653,0.6428571428571429,9.32183908045977,0.23490463774060294,3.038402745491287,17.919540229885055,0.34351325500844765,3.4728372145626665,21.060344827586206,0.23435453878194795,3.0362023496566675,3.1824807699035405,3.038402745491287,3.1824807699035405,-0.4344344690713795,Transit Desert,Transit Desert,Transit Desert,Transit Desert,Transit Desert,525.0,16,0.3404255319148936,3.3162391804203777,3.3162391804203777,"['Morning', 'Midday', 'Evening']",3,Persistent,True,False,5.502086155074188
