lon,lat,type
78.79238706520817,17.2821403620338,business
78.20569848315253,17.687230323862902,business
78.17485162919509,17.670722830536995,business
78.38667926255368,17.65420708318507,business
78.40886505,17.634848,business
78.37741237396769,17.54874452529611,business
78.46393908289114,17.265315685740664,business
78.47389414895632,17.259924028369994,business
78.47476127032417,17.26094531514364,business
78.47401491520321,17.25847246480883,business
78.4740057063403,17.257035906451012,business
78.66538821588628,17.320452264347658,business
78.82880024999999,17.4636886,business
78.8289692655038,17.46375183951662,business
78.68945969891801,17.336154269432964,business
78.68929854197326,17.33887808871749,business
78.50417005696825,17.524539575387596,business
78.067794179425,17.59448716647404,business
78.06576243394063,17.59286062471936,business
78.22247168661517,17.55772142046572,business
78.22243980188418,17.557641888975514,business
78.84730828306982,17.53427783569696,business
78.2860485053352,17.48554978290244,business
78.28606978624254,17.488154914074002,business
78.2857645,17.49577555,business
78.28807376901199,17.497763789305235,business
78.28817612441537,17.495779553303223,business
78.28360162544794,17.493635244649038,business
78.28582117850921,17.493092485714428,business
78.28822013781854,17.493416053976407,business
78.4502390333497,17.52543614955808,business
78.47320846400072,17.58335149304334,business
78.45053645,17.5250951,business
78.47400047651,17.584017008071644,business
78.49434365,17.6101664,business
78.45058601783217,17.52504204418015,business
78.47501965511982,17.58460873402447,business
78.4752019386567,17.58411203316396,business
78.47534855562147,17.583645583811382,business
78.47425328683303,17.583332183087702,business
78.47405931960878,17.58262231740074,business
78.47518845760551,17.58298006674591,business
79.25636771294252,17.076496020968936,business
79.25649165000002,17.0764688,business
79.2565720162056,17.076455767446003,business
79.25643165915557,17.077414371420637,business
79.2568416,17.0771932,business
79.25675805000002,17.07708145,business
79.25664462761327,17.07690220461977,business
79.25660254132485,17.076790977311905,business
78.4317914631616,17.416383303180393,business
78.4173059857448,17.59982880869566,business
78.417264728321,17.598879823607838,business
78.1396374641517,17.508658545090228,business
78.13997074781379,17.508231259706008,business
78.13952142913361,17.508037034017086,business
78.13961291732878,17.507451234861914,business
78.1410193741261,17.508885110113933,business
78.13978705327595,17.509693777695094,business
78.14090842736235,17.509406029747204,business
78.14158072027216,17.50972688513088,business
78.14146664487572,17.509496109786966,business
78.1418846777309,17.509763486570495,business
78.14143515,17.508974,business
78.14143240158279,17.50879337298002,business
78.14144115,17.5085899,business
78.14145885,17.5080784,business
78.14144685,17.5082651,business
78.14146969999999,17.5073404,business
78.1415196,17.5075833,business
78.53043518505226,17.204456319231863,business
78.53097171751794,17.204285021646644,business
77.93772980000001,17.620088171111114,business
77.94811188107917,17.61537553759537,business
77.94768065067805,17.616045188639163,business
77.94720314700002,17.616306776081476,business
77.92578549979422,17.62217736848347,business
77.92452806778104,17.620977323439835,business
78.37344974406287,17.448211450587536,business
78.38559378152073,17.507125263419823,business
78.38450651899308,17.434768185014665,business
78.37447229675179,17.457857174575715,business
78.44414185105369,17.437257391910794,business
78.48959336211166,17.440616111682317,business
78.47231360786549,17.40732514646726,business
78.48581378658959,17.60447186908192,business
78.44642325,17.4365259,business
78.37791205447212,17.44154567750087,business
78.44409090300023,17.43800457964725,business
78.38722541892619,17.432461200572767,business
78.38262430000002,17.43598135,business
78.38318785833455,17.435575148857904,business
78.3858135937377,17.435128962329152,business
78.38786158938181,17.433036106306933,business
78.37810933373217,17.43957354274282,business
78.3786902887784,17.439516786348193,business
78.37842923874884,17.440083707126142,business
78.38111594308542,17.450482133263858,business
78.38041489777271,17.43787315080715,business
78.38081442355393,17.43755257987995,business
78.38089132747929,17.44114481109362,business
78.38785369705369,17.436357232356368,business
78.45707994639206,17.436172315326044,business
78.45646813591857,17.4358712821943,business
78.37963163227805,17.44158865376769,business
78.37890417903,17.441929991203835,business
78.38031834058116,17.440018098726306,business
78.3804706,17.44061975,business
78.37538325772566,17.445684974627568,business
78.37665375315771,17.44512117453205,business
78.37613605000001,17.4453953,business
78.37415863851913,17.444564972729324,business
78.48429968523082,17.464038777589,business
78.38128959541574,17.439066264710643,business
78.38025255106871,17.444560933802723,business
78.37933972474163,17.44458854757762,business
78.44771709775164,17.431307032936076,business
78.37974210330164,17.443677707877452,business
78.38169763230263,17.44461261482297,business
78.38113277963242,17.444599560573177,business
78.37918283915947,17.442624082296035,business
78.3790113862997,17.441080880652816,business
78.34882154853865,17.4457221663263,business
78.4465918457798,17.441935357811204,business
78.44504265000002,17.43663995,business
78.4485184,17.43798585,business
78.44860235,17.43764515,business
78.4480131056545,17.44231487298207,business
78.44602426976392,17.43730111473479,business
78.44814072075201,17.441342497711656,business
78.44759145337932,17.44134832078289,business
78.44764720323967,17.44178512174155,business
78.44676449570197,17.441897578226502,business
78.44679146821528,17.442064634254265,business
78.44706471479391,17.441449832435204,business
78.42949154539397,17.23534667667222,business
78.43591027391895,17.238293624108813,business
78.41960585,17.2369191,business
78.39312311190244,17.482573118536624,business
78.4196133180494,17.23541557540923,business
78.44928312255348,17.404480119051488,business
78.41078943900067,17.415819084809634,business
78.47678215305112,17.500880318472802,business
78.4794305259156,17.501707416245154,business
78.43370113503124,17.436656161472197,business
78.43388015537151,17.436617760568442,business
78.3068812,17.4927111,business
78.29891598743755,17.50097165819997,business
78.47615662087364,17.499040875307045,business
78.48516279912184,17.426674678429755,business
78.47494659557968,17.49978153371122,business
78.33191725022914,17.49390893365483,business
78.33210938146355,17.49348958772009,business
78.44120578728935,17.39499913611463,business
78.39837418057702,17.439415938854253,business
78.41950299081552,17.23648789187171,business
78.41977130611355,17.23648358395924,business
78.43356175573848,17.237503065705166,business
78.43416459017091,17.237500971453738,business
78.43355777245773,17.2372936182338,business
78.43416056545007,17.237301487929813,business
78.38382559572293,17.441244295622884,business
78.38839171281688,17.43208631927775,business
78.38214389037819,17.43831005579082,business
78.38316622701679,17.436866866268986,business
