stop_id,stop_name,stop_lat,stop_lon,LMCI_old,LMCI_new,LMCI_new2,LMCI_mean,Morning_LMCI,Midday_LMCI,Evening_LMCI,density_norm,walkzone_norm,Morning_freq_norm,stop_count_3km,stop_count_800m,demand_count,desert_severity,is_persistent_desert,priority_score,service_class,candidate_rank,covered_demand_points_if_selected,weighted_demand_if_selected,equity_weighted_candidate_score,mclp_selected,mclp_selection_rank,mclp_marginal_weighted_demand,mclp_cumulative_coverage_pct,assigned_demand_count,demand_signal,service_signal,mismatch_class,is_high_demand_low_service,is_possible_overserved,demand_percentile,service_percentile,lmci_gap_raw,lmci_gap_norm,demand_norm,mclp_candidate_norm,temporal_gap,temporal_gap_norm,desert_norm,final_priority_score,priority_band,final_priority_rank
KPH,KPHB Colony,17.4937602,78.4018258,1.4591139288063222,1.8442654211241856,1.8442654211241856,1.4591139288063222,1.6952264821532164,1.2235699096748835,1.458545394590867,0.1489361702127659,0.4285714285714285,0.1304935506294894,291.0,8,7,Persistent,True,7.937782121492294,Transit Desert,30,5,5.25,7.856666739620255,False,,0.0,0.0,0.0,7,1.8442654211241856,Balanced,False,False,37.719298245614034,22.807017543859647,4.619108439058185,0.7557998092456074,0.14893617021276595,0.15859093994784135,0.4716565724783328,0.2166476886997923,1.0,42.53,Medium,21
ESI,ESI Hospital,17.4486969,78.4376283,2.2706988161325303,1.614976284734686,1.614976284734686,2.2706988161325303,1.7261995577167584,2.545731439760772,2.5401654509200604,0.1284498480243161,0.1428571428571428,0.2352732936845086,257.3,4,4,Persistent,True,6.790740186295383,Transit Desert,42,2,2.5,3.7656561503503694,False,,0.0,0.0,0.0,4,1.614976284734686,Low Demand - Low Service,False,False,16.666666666666664,14.035087719298245,4.8483975754476845,0.7933171543851834,0.0851063829787234,0.07601174495448942,0.8195318820440138,0.4220370068073072,1.0,42.05,Medium,22
JCP,Jubilee Hills Checkpost,17.4281969,78.4137145,0.4297907103778593,0.5291838182696206,0.5291838182696206,0.4297907103778593,0.4091670906146946,0.5139436423425916,0.3662613981762918,0.0303951367781155,0.2142857142857142,0.0107264231096006,96.0,5,2,Persistent,True,9.39256142412208,Transit Desert,43,2,2.0,3.104909351156529,False,,0.0,0.0,0.0,2,0.5291838182696206,Low Demand - Low Service,False,False,8.771929824561402,3.508771929824561,5.93419004191275,0.9709795214548638,0.0425531914893617,0.06267422416806702,0.14768224416629983,0.025369766563196176,1.0,42.01,Medium,23
HSG,Habsiguda,17.42018,78.540548,3.054806398856535,2.186821281720864,2.186821281720864,3.054806398856535,2.524191755748725,3.6063044199264462,3.0339230208944343,0.2583586626139817,0.0714285714285714,0.2902424678125613,471.0,3,5,Persistent,True,5.682532907998928,Transit Desert,41,3,3.25,4.816288108407616,False,,0.0,0.0,0.0,5,2.186821281720864,Low Demand - Low Service,False,False,23.684210526315788,28.07017543859649,4.276552578461507,0.6997492407190709,0.10638297872340426,0.09721930221631027,1.0821126641777212,0.5770675200619351,1.0,41.85,Medium,24
ROP,Rasoolpura,17.443612,78.4764053,3.343000147265668,3.2139701208184013,3.2139701208184013,3.343000147265668,3.3962611194068746,2.9012235757299347,3.731515746660192,0.2555015197568389,0.2857142857142857,0.4582598087270985,466.3,6,9,Persistent,True,5.275218380524251,Transit Desert,21,7,8.75,12.584577492326275,False,,0.0,0.0,0.0,9,3.2139701208184013,Balanced,False,False,46.49122807017544,54.385964912280706,3.249403739363969,0.5316824142093529,0.19148936170212766,0.25402629887429046,0.8302921709302571,0.428389996905238,1.0,41.37,Medium,25
ASM,Assembly,17.3979907,78.4708797,3.284395078248476,3.372593306056588,3.372593306056588,3.284395078248476,3.3336368135219008,3.305322419561999,3.2142260016615265,0.2814589665653495,0.3571428571428571,0.3922997808880741,509.0,7,15,Persistent,True,5.358047019681512,Transit Desert,11,10,11.25,16.104253691127017,False,,0.0,0.0,0.0,15,3.372593306056588,Balanced,False,False,59.64912280701754,61.40350877192983,3.0907805541257827,0.5057277576502623,0.3191489361702128,0.32507280945936773,0.11941081186037428,0.008678009362932773,1.0,41.36,Medium,26
MKL,Malakpet,17.3771888,78.4939356,3.374281428819357,3.858084957176228,3.858084957176228,3.374281428819357,3.5505078624784336,3.5604181508062798,3.01191827317336,0.3225531914893617,0.7857142857142857,0.2880069048293348,576.6,13,17,Persistent,True,5.231007427007123,Transit Desert,22,7,8.75,12.344808331266488,False,,0.0,0.0,0.0,17,3.858084957176228,Balanced,False,False,65.78947368421053,77.19298245614034,2.6052889030061426,0.4262893763808728,0.3617021276595745,0.2491864325692555,0.5484998776329197,0.26201680117441134,1.0,40.68,Medium,27
NGR,NGRI,17.4148264,78.5463345,1.8426853850390377,1.7889136614032215,1.7889136614032215,1.8426853850390377,1.8792534766883544,2.008855048475499,1.6399476299532605,0.1337386018237082,0.2142857142857142,0.2490686883210247,266.0,5,4,Persistent,True,7.395666869823458,Transit Desert,34,4,4.75,7.119598048275202,False,,0.0,0.0,0.0,4,1.7889136614032215,Low Demand - Low Service,False,False,16.666666666666664,19.298245614035086,4.674460198779149,0.7648567192511763,0.0851063829787234,0.14371282172792724,0.3689074185222383,0.15598348492656697,1.0,40.23,Medium,28
JNT,JNTU College,17.4987037,78.3888668,3.1358690316111897,2.65817072666844,2.65817072666844,3.1358690316111897,2.6376922937869454,3.256142832481101,3.513771968565523,0.2778115501519757,0.6428571428571429,0.1514443500424809,503.0,11,6,Persistent,True,5.567964191159723,Transit Desert,39,4,4.5,6.5784711007029975,False,,0.0,0.0,0.0,6,2.65817072666844,Balanced,False,False,30.701754385964914,38.59649122807017,3.8052031335139307,0.6226248723957245,0.1276595744680851,0.13278989040212555,0.8760796747785777,0.4554234308243998,1.0,39.74,Medium,29
STD,Stadium,17.4074002,78.5542531,2.192233796795697,2.0046421663442944,2.0046421663442944,2.192233796795697,2.180989223542415,2.4536131926504403,1.9420989741942352,0.1452887537993921,0.0,0.3636363636363637,285.0,2,7,Persistent,True,6.901637603227211,Transit Desert,50,1,1.25,1.862106423814411,False,,0.0,0.0,0.0,7,2.0046421663442944,Balanced,False,False,37.719298245614034,24.561403508771928,4.458731693838076,0.7295582271212647,0.14893617021276595,0.03758759507341844,0.5115142184562051,0.24018007085990162,1.0,38.95,Medium,30
